 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RID0003	Zea	diploperennis	PI	441931	336867	Mexico	Jalisco	19.6	-104.283	1900	Las Joyas  7.8 km west by west-southwest of Rincon de Manantlan  about 16 km southwest of El Chante. Thickets along stream and maize fields.	NA	Wild	USDA	NA	NA	NA
RID0004	Zea	diploperennis	PI	441932	336868	Mexico	Jalisco	19.5875	-104.264	1925	Near houses at Zarza mora (Blackberry)  about 2 km east of Las Joyas  6 km west-southwest of Rincon de Manantlan  15 km south-southwest of El Chante  top of Sierra de Manantlan Occidental. Open  grassy  ungrazed slopes and roadsides  pastures and grazed orchards.	NA	Wild	USDA	NA	NA	NA
RIHA0001	Hemarthria	altissima	PI	299039	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIHH0001	Hyparrhenia	hirta	PI	206889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RIHY0001	Zea	mays subsp. mays	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	RIMMA0758 x RIMMA0039 F1	NA
RIHY0004	Zea	hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	ssp mays x ssp parviglumis	NA	Doebley	0	6k from Doebley\ Packet 16609\ Seed Lot 06GH-94-4 x TIP-522\ Cross Notes: F1\ Stock Description: B73 x TIL1-S8\ 2k sent to R. Kelly Dawe\ No more seeds	NA
RIHY0005	Zea	hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	ssp mays x ssp parviglumis	NA	Doebley	0	6k from Doebley\ Packet 16613\ Seed Lot 06GH-101-4 x TIP-536\ Cross Notes: F1\ Stock Description: OH43 x TIL 11-S9\ 2k sent to R. Kelly Dawe	NA
RIHY0006	Zea	hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	ssp mays x ssp parviglumis	NA	Doebley	0	6k from Doebley\ Packet 16620\ Seed Lot: GH2006-96-5 x TIP-459-TIP-459\ Cross Notes: F1\ Stock Description: B73 x TIL5\ 2k sent to R. Kelly Dawe	NA
RIHY0007	Zea	hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	ssp mays x ssp parviglumis	NA	Doebley	0	6k from Doebley\ Packet 16638\ Seed Lot: GH2006-102-5 x TIP-516-TIP-516\ Cross notes: F1\ Stock Description: OH43 x TIL15\ 2k sent to R. Kelly Dawe	NA
RIHY0008	Zea	hybrid	NA	NA	NA	NA	NA	NA	NA	NA	NA	ssp mays x ssp mays	NA	Flint-Garcia	NA	MR23 - Zapalote chico  (RIMMA0053) X MR15 Palomero de Jalisco (RIMMA0046)\ 10WN1193\ 5 kernels	1
